children's sudafed pe,children's cough/cold combinations,'temporarily relieves nasal congestion due to the common cold
children's sudafed pe,children's cough/cold combinations, hay fever or other upper respiratory allergies'
children's sudafed pe,children's cough/cold combinations, 'temporarily relieves sinus congestion and pressure'
children's sudafed pe,children's cough/cold combinations, 'promotes nasal and/or sinus drainage'
children's sudafed pe,children's cough/cold combinations,'temporarily relieves nasal congestion due to the common cold
children's sudafed pe,children's cough/cold combinations, hay fever or other upper respiratory allergies'
children's sudafed pe,children's cough/cold combinations, 'temporarily relieves sinus congestion and pressure'
children's sudafed pe,children's cough/cold combinations, 'promotes nasal and/or sinus drainage'
orajel,children's toothpastes,anticavity toothpaste
chloraseptic kids sore throat spray,children's sore throat products,oral anesthetic/analgesic
pediacare children's allergy,children's allergy,'temporarily relieves these symptoms due to hay fever or\xc2\xa0other upper respiratory allergies:'
pediacare children's allergy,children's allergy, 'runny nose\xc2\xa0'
pediacare children's allergy,children's allergy, 'sneezing\xc2\xa0'
pediacare children's allergy,children's allergy, 'itchy
pediacare children's allergy,children's allergy, watery eyes'
pediacare children's allergy,children's allergy, 'temporarily relieves cough due to inhaled irritants'
dramamine for kids,children's motion sickness products,'nausea'
dramamine for kids,children's motion sickness products, 'vomiting'
dramamine for kids,children's motion sickness products, 'dizziness'
act kids anticavity,children's mouthwashes,anticavity
triple paste,diaper rash products,skin protectant
aquaphor baby,diaper rash products,skin protectant (ointment)
a+d diaper rash ointment,diaper rash products,'helps treat and prevent diaper rash'
a+d diaper rash ointment,diaper rash products, 'temporarily protects minor:
a+d diaper rash ointment,diaper rash products,cuts
a+d diaper rash ointment,diaper rash products,scrapes
a+d diaper rash ointment,diaper rash products,burns'
a+d diaper rash ointment,diaper rash products, 'cuts'
a+d diaper rash ointment,diaper rash products, 'scrapes'
a+d diaper rash ointment,diaper rash products, 'burns'
a+d diaper rash ointment,diaper rash products, 'temporarily protects and helps relieve chapped
a+d diaper rash ointment,diaper rash products, chafed or cracked skin and lips'
a+d diaper rash ointment,diaper rash products, 'protects chafed skin due to diaper rash and helps seal out wetness'
destin diaper rash,diaper rash products,skin protectant
boudreaux's butt paste,diaper rash products,'helps treat and prevent diaper rash\xc2\xa0'
boudreaux's butt paste,diaper rash products, 'protects chafed skin due to diaper rash and helps seal out wetness'
cystex,urinary pain relief,'painful urination'
cystex,urinary pain relief, 'burning urination'
oxytrol for women,overactive bladder treatment,'treats overactive bladder in women'
oxytrol for women,overactive bladder treatment, 'you may be suffering from overactive bladder if you have had 2 or more of the following symptoms for at least 3 months
oxytrol for women,overactive bladder treatment,urinary frequency (the need to urinate more often than usual; typically more than 8 times in 24 hours)
