Name,Condition,Recommendations,Acrive Ingredients,Uses,
Children's Sudafed PE,Children's Cough/Cold Combinations,10672.88,"In each 5ml
Pseudoephedrine HCl 15 mg; nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves sinus congestion and pressure', 'promotes nasal and/or sinus drainage']",
Children's Sudafed PE,Children's Cough/Cold Combinations,10672.88,"In each 5ml
Pseudoephedrine HCl 15 mg; nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves sinus congestion and pressure', 'promotes nasal and/or sinus drainage']",
Hyland's 4 Kids Cough Syrup,Children's Homeopathic Cough Products,298763.01,"Aconitum Napellus 6X HPUS: hoarse, dry, croupy cough, chest congestion         
Antimonium Tartaricum 6X HPUS: moist cough                          
Ipecacuanha 6X HPUS: moist, gagging cough
Spongia Tosta 6X HPUS: dry, barking cough",,
Orajel,Children's Toothpastes,24247.44,Sodium fluoride (0.24%), Anticavity toothpaste,
Anbesol Baby,Teething Products,131503.5,Benzocaine 7.5%,,
Hyland's Cough Syrup 4 Kids,Children's Cough,9869.49,"Aconitum Napellus 6X HPUS: hoarse, dry, croupy cough, chest congestion         
Antimonium Tartaricum 6X HPUS: moist cough                          
Ipecacuanha 6X HPUS: moist, gagging cough
Spongia Tosta 6X HPUS: dry, barking cough",,
Chloraseptic Kids Sore Throat Spray,Children's Sore Throat Products,362778.24,Phenol 0.5%, Oral Anesthetic/Analgesic,
PediaCare Children's Allergy,Children's Allergy,12297.95,"In each 5 mL (1 teaspoonful):
Diphenhydramine HCI 12.5 mg: Antihistamine/cough suppressant","['temporarily relieves these symptoms due to hay fever or\xc2\xa0other upper respiratory allergies:', 'runny nose\xc2\xa0', 'sneezing\xc2\xa0', 'itchy, watery eyes', 'temporarily relieves cough due to inhaled irritants']",
Hyland's Motion Sickness,Children's Motion Sickness Products,49330.44,"Nux Vomica 6X HPUS: sore stomach, nausea
	Tabacum 6X HPUS: sick headache with nausea, vomiting
	Petroleum 12X HPUS: nausea, dizziness
	Cocculus Indicus 30X HPUS: nausea, dizziness, vomiting
	“HPUS” indicates the active ingredients are in the official Homeopathic Pharmacopoeia of the United States",,
Dramamine for Kids,Children's Motion Sickness Products,356275.4,"In each tablet
Dimenhydrinate 25 mg; Antiemetic","['nausea', 'vomiting', 'dizziness']",
Bonine,Children's Motion Sickness Products,137029,"In each tablet
Cyclizine HCl 25 mg; antiemetic",,
ACT Kids Anticavity,Children's Mouthwashes,155051.59,Sodium fluoride 0.05% (0.02% w/v fluoride ion), Anticavity,['aids in the prevention of dental cavities']
Triple Paste,Diaper Rash Products,52034.15,Zinc oxide 12.8%, skin protectant,"['Helps treat and present diaper rash', 'Protects chafed skin due to diaper rash and helps protect from wetness']"
Aquaphor Baby,Diaper Rash Products,29733.8,Petrolatum (41%), Skin protectant (ointment),"['Soothes, protects and helps heal dry, irritated skin due to drooling, minor burns and abrasions', 'Relief for the dry skin associated with Eczema']"
A+D Diaper Rash Ointment,Diaper Rash Products,208136.6,"Lanolin 15.5%; Diaper rash ointment
Petrolatum 53.4%; Skin protectant","['helps treat and prevent diaper rash', 'temporarily protects minor:\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns', 'cuts', 'scrapes', 'burns', 'temporarily protects and helps relieve chapped, chafed or cracked skin and lips', 'protects chafed skin due to diaper rash and helps seal out wetness']",
Destin Diaper Rash,Diaper Rash Products,223003.5,Zinc Oxide 13%, skin protectant,"['helps treat and prevent diaper rash', 'protects chafed skin due to diaper rash and helps seal out wetness']"
Boudreaux's Butt Paste,Diaper Rash Products,89201.4,"Zinc Oxide, 16%; Skin Protectant","['Helps treat and prevent diaper rash\xc2\xa0', 'Protects chafed skin due to diaper rash and helps seal out wetness']",
Hyland's Baby Diaper Ointment,Diaper Rash Products,7433.45,"Calendula Officinalis 1X: soothes rash, skin irritation",,
Calmoseptine,Diaper Rash Products,44600.7,"Menthol 0.44%; External analgesic / Anti-itch
Zinc Oxide 20.6%; Skin protectant / Anorectal astringent",,
Encare Vaginal Contraceptive Inserts,Female Contraceptives,49725.94,"In each insert:
Nonoxynol-9 100 mg",,
Next Choice One Dose,Emergency Contraception,58969.12,"In each tablet:
Levonorgestrel 1.5 mg; Emergency contraceptive",,
Plan B One-Step,Emergency Contraception,217448.63,"In each tablet:
Levonorgestrel 1.5mg",,
AZO Yeast,Yeast Infection Prevention and Relief,75000,"In each tablet:

Eupatorium perfoliatum 5X

Viscum album 5X",,
Cystex,Urinary Pain Relief,64020,"In each tablet
Methenamine 162 mg; Antibacterial
Sodium Salicylate 162.5 mg (NSAID)*; Analgesic (pain reliever)

*nonsteroidal anti-inflammatory drug","['painful urination', 'burning urination']",
Uristat,Urinary Pain Relief,74690,"In each tablet:
Phenazopyridine hydrochloride 95mg; Urinary analgesic",,
Oxytrol for Women,Overactive Bladder Treatment,93066.84,"In each patch:
Oxybutynin 3.9 mg/day; Overactive bladder treatment","['treats overactive bladder in women', 'you may be suffering from overactive bladder if you have had 2 or more of the following symptoms for at least 3 months\r\n\t\t\n\r\n\t\t\t\turinary frequency (the need to urinate more often than usual; typically more than 8 times in 24 hours)\n\r\n\t\t\t\turinary urgency (a strong need to urinate right away)\n\r\n\t\t\t\turinary incontinence (leaking or wetting yourself if you cannot control the urge to urinate)', 'urinary frequency (the need to urinate more often than usual; typically more than 8 times in 24 hours)', 'urinary urgency (a strong need to urinate right away)', 'urinary incontinence (leaking or wetting yourself if you cannot control the urge to urinate)', 'non-drug therapies may also help you (see the consumer information leaflet inside the package)']",
Summer's Eve,Vaginal Care and Hygiene,238278.21,"In each bottle, when mixed:
ovidone-Iodine 0.3%; Antimicrobial",,
Monistat Complete Care,Vaginal Care and Hygiene,246494.7,Hydrocortisone 1%,"['temporarily relieves external genital itching', 'other uses of this product should only be under the advice and supervision of a doctor']",
Clear Care Cleaning & Disinfecting Solution,Contact Lens Solutions,42603.05,3% HYDROGEN PEROXIDE,,
Biotrue,Contact Lens Solutions,85206.1,"A sterile, isotonic solution that contains hyaluronan, sulfobetaine, poloxamine, boric acid, sodium borate, edetate disodium and sodium chloride and preserved with a dual disinfection system (polyaminopropyl biguanide) 0.00013% and polyquaternium 0.0001%",,
Opti-Free,Contact Lens Solutions,304307.5,,,
Renu multi-purpose solution,Contact Lens Solutions,85206.1,"A sterile, isotonic solution that contains HYDRANATE® (hydroxyalkylphosphonate), boric acid, edetate disodium, poloxamine, sodium borate and sodium chloride; preserved with DYMED® (polyaminopropyl biguanide) 0.0001%.",,
Complete Multi-Purpose Solution Easy Rub Formula,Contact Lens Solutions,30430.75,,"['Chemically (NOT HEAT) Disinfect', 'Clean', 'Rinse', 'Store', 'Remove Protein']",
Advanced Eye Relief,Artificial Tears/Ophthalmic Lubricants,10192.83,"Glycerin (0.3%); Lubricant
Propylene glycol (1.0%); Lubricant","['temporary relief of burning and irritation due to dryness of the eye', 'prevents further irritation']",
Systane,Artificial Tears/Ophthalmic Lubricants,366941.88,"Polyethylene Glycol 400 0.4%; Lubricant
Propylene Glycol 0.3%; Lubricant",,
Hypo Tears,Artificial Tears/Ophthalmic Lubricants,30578.49,"Polyvinyl alcohol (1%); lubricant
Polyethylene glycol 400 (1%); lubricant","['For use as a lubricant to relieve dryness of the eye.\xc2\xa0', 'Temporarily relieves burning and irritation due to dryness of the eye or from exposure to wind or sun.', 'Helps protect against further eye irritation.']",
Naphcon-A,Ophthalmic Antihistamines/Decongestants,178469.4,"Naphazoline Hydrochloride 0.025%; Redness reliever
Pheniramine Maleate 0.3%; Antihistamine","['ragweed\xc2\xa0', 'pollen', 'grass', 'animal dander and hair']",
Zaditor,Ophthalmic Antihistamines/Decongestants,437250.03,Ketotifen (0.025%) (equivalent to ketotifen fumarate 0.035%), Relieves itchy eyes,
Alaway,Ophthalmic Antihistamines/Decongestants,53540.82,Ketotifen 0.025% (equivalent to ketotifen fumerate 0.035%) ,,
Opcon-A,Ophthalmic Antihistamines/Decongestants,71387.76,"Naphazoline HCl (0.02675%); Redness reliever
Pheniramine maleate (0.315%); Antihistamine",,
Murine,Ear Wax Removal,36797.65,"Carbamide peroxide 6.5%; earwax removal aid

	 ",,
NeilMed ClearCanal,Ear Wax Removal,14719.06, Carbamide peroxide 6.5%,,
Debrox,Ear Wax Removal,632919.58,"Carbamide peroxide 6.5% non USP* ; Earwax removal aid
	*pH differs from USP specifications",,
Auro Earwax Removal Aid,Ear Wax Removal,22078.59,Carbamide peroxide 6.5% in anhydrous glycerin, Earwax removal aid,
Similasan Ear Wax Relief,Ear Wax Removal,14719.06,"Causticum 12X; itching, wax build-up

		Graphites 15X; dryness, wax build-up

		Lachesis 12X; dryness, wax build-up

		Lycopodium 12X; wax build-up","['clogged sensation when caused by ear wax', 'ringing in the ear when caused by ear wax', 'dry skin and itching of the ear canal']",
Similasan Ear Relief,Ear Pain Relief,213369.96,"Chamomilla 10X: sensitivity to drafts, soothing
Mercurius solubilis 15X: fullness, sensitivity to cold
Sulphur 12X: itchiness, sensitivity to water",,
Biotrue,Contact Lens Saline Solutions,63030.96,"A sterile, isotonic solution that contains hyaluronan, sulfobetaine, poloxamine, boric acid, sodium borate, edetate disodium and sodium chloride and preserved with a dual disinfection system (polyaminopropyl biguanide) 0.00013% and polyquaternium 0.0001%",,
OPTI-FREE PureMoist ,Contact Lens Saline Solutions,252123.84,,,
Sensitive Eyes Plus Saline Solution,Contact Lens Saline Solutions,120809.34,,,
Simply Saline Sterile Saline Solution for Contacts,Contact Lens Saline Solutions,89293.86,,,
Ricola,Sore Throat Lozenges,151391.79,"In each drop:
	Menthol, 4.8 mg; Cough supressant/Oral pain reliever","['cough due to a cold or inhaled irritants', 'occasional minor irritation and pain due to sore throat or sore mouth']",
Solarcaine,Sun Burn Relief,298235.7,Lidocaine hydrochloride 0.5%, External analgesic,"['minor skin irritations', 'minor burns', 'sunburn', 'scrapes', 'minor cuts', 'insect bites']"
Polysporin,Topical Antibiotics/Antiseptics,157684.92,"Bacitracin 500 units; First aid antibiotic
Polymyxin B 10,000 units; First aid antibiotic","['cuts', 'scrapes', 'burns']",
Hibiclens,Topical Antibiotics/Antiseptics,78842.46,Chlorhexidine gluconate solution 4.0% w/v, Antiseptic,"['antimicrobial skin cleanser helps reduce bacteria that potentially can cause disease', 'for skin wound and general skin cleansing', 'surgical hand scrub', 'personnel hand wash', 'preoperative skin preparation']"
Polysporin,Burn Treatments,30824.76,"Bacitracin 500 units; First aid antibiotic
Polymyxin B 10,000 units; First aid antibiotic","['cuts', 'scrapes', 'burns']",
Nicorette,Smoking Cessation Aids,163090.8,"Per lozenge:
Nicotine polacrilex, 2mg; Stop smoking aid
OR
Nicotine polacrilex, 4mg; Stop smoking aid",,
NicoDerm CQ Patch,Smoking Cessation Aids,416787.6,"In each STEP-1 patch  (clear):
Nicotine, 21 mg delivered over 24 hours; Stop smoking aid

In each STEP-1 patch (opaque):
Nicotine, 21 mg delivered over 24 hours; Stop smoking aid

In each STEP-2 patch (clear):
Nicotine, 14 mg delivered over 24 hours; Stop smoking aid

In each STEP-3 patch (clear):
Nicotine, 7 mg delivered over 24 hours; Stop smoking aid","['reduces withdrawal symptoms, including nicotine craving, associated with quitting smoking']",
Hyland's Leg Cramps,Leg Cramp Relief,208890.6,"Cinchona Officinalis 3X HPUS: pains in limbs & joints
Aconitum Napellus 6X HPUS: pains in joints, legs
Gnaphalium Polycephalum 3X HPUS: cramps in calves & feet
Ledum Palustre 6X HPUS: pain and cramps in legs
Magnesia Phosphorica 6X HPUS: cramps in calves
Rhus Toxicodendron 6X HPUS: pain and stiffness
Viscum Album 3X HPUS: pains in joints",,
Hyland's Restful Legs,Leg Cramp Relief,54493.2,"Arsenicum Album 12X HPUS: creeping, crawling itch
Lycopodium 6X HPUS: restless legs while lying down
Pulsatilla 6X HPUS: constant urge to move legs
Rhus Toxicodendron 6X HPUS: restless legs, better with activity
Sulphur 6X HPUS: itching, tingling, and urge to move legs
Zincum Metallicum 12X HPUS: twitching and jerking of legs while sitting",,
MagniLife Leg Cramps Relief,Leg Cramp Relief,49952.1,"Causticum 12X, 30X HPUS; Relieves cramps in the feet and toes
Colocynthis 12X, 30X HPUS; Relieves cramps and twitching
Cuprum metallicum 12X, 30X HPUS; Relieves cramps in the fingers and toes
Magnesia phosphorica 12X, 30X HPUS; Anti-spasmodic remedy; relieves pains that are worse at night
Phytolacca decandra 12X, 30X HPUS; Affects fibrous tissues and muscle sheaths
Rhus toxicodendron 12X, 30X HPUS; Relieves cramps in the calves
Stannum metallicum 12X, 30X HPUS; Relieves cramps in the fingers
Veratrum album 12X, 30X HPUS; Relieves cramps in extremities",,
Nytol,Sleep Aids,38288.64,Diphenhydramine HCl 25 mg,,
MidNite,Sleep Aids,9572.16,"In each tablet


		Melatonin 1.5mg

		Proprietary blend 22mcg
		

				Lemon balm

				Chamomile

				Lavender",,
Simply Sleep,Sleep Aids,38288.64,Diphenhydramine HCl 25 mg,,
Calms Forte,Sleep Aids,19144.32,"Avena Sativa HPUS 1X Double Strength; stress, nervousness

		Chamomilla HPUS 2X; nervous irritability

		Humulus Lupulus HPUS 1X Double Strength; occasional sleeplessness

		Passiflora HPUS 1X Triple Strength; restless sleep from exhaustion

		Biochemic Phosphates; enhances cellular function",,
Tagamet HB,H2 Receptor Antagonists,11708.19,"In each tablet
Cimetidine 200 mg; acid reducer","['relieves\xc2\xa0heartburn associated with acid indigestion and sour stomach', 'prevents\xc2\xa0heartburn associated with acid indigestion and sour stomach brought on by eating or drinking certain food and beverages']",
Zantac,H2 Receptor Antagonists,643950.45,"In each tablet:
Ranitidine 150 mg (as ranitidine hydrochloride 168 mg); acid reducer","['relieves heartburn associated with acid indigestion and sour stomach', 'prevents heartburn associated with acid indigestion and sour stomach brought on by certain foods and beverages']",
Beano,Antiflatulence Products,65006.83,"Per 2 tablets:

Alpha-galactosidase enzyme 300 GALU† (derived from Aspergillus niger)*

*Daily Value not established","['Use for the right problem:\xc2\xa0Use Beano\xc2\xae\xc2\xa0if you experience the symptoms of stomach gas caused by many healthful foods.', 'Use with the right food:\xc2\xa0Beano\xc2\xae\xc2\xa0Tablets prevent\xc2\xa0symptoms caused by a variety of foods including:\r\n\t\t\n\r\n\t\t\t\tVeggies like broccoli, lettuce, peppers\xc2\xa0and carrots\n\r\n\t\t\t\tProteins like beans and peanuts\n\r\n\t\t\t\tWhole grains like whole wheat and oat bran\n\n\r\n\t\t\tGluten-free', 'Veggies like broccoli, lettuce, peppers\xc2\xa0and carrots', 'Proteins like beans and peanuts', 'Whole grains like whole wheat and oat bran']",
DulcoGas,Antiflatulence Products,9286.69,,,
Phazyme,Antiflatulence Products,74293.52,"Active Ingredient (in each softgel)

	Simethicone 250mg",,
Mylanta ,Antiflatulence Products,37146.76,"Active ingredient (in each tablet)
	Simethicone 125 mg; antigas","['relieves bloating, pressure, and discomfort of gas which can be caused by certain foods (such as beans, bran, and broccoli) or air swallowing']",
Colace 2-IN-1 (formerly Peri-Colace),"Laxatives, Stimulant",150386.55,"Docusate sodium 50 mg; Stool softener
	Sennosides 8.6 mg; Stimulant laxative","['relieves occasional constipation (irregularity)', 'generally produces bowel movement in 6 to 12 hours']",
MiraLAX,"Laxatives, Nonfiber",666610.2,"In each dose (per bottle)
	Polyethylene Glycol 3350, 17 g (cap filled to line)","['relieves occasional constipation (irregularity)', 'generally produces a bowel movement in 1 to 3 days']",
Mylanta,Antacids,254439.36,"Active ingredient (in each tablet)
	Simethicone 125 mg; antigas","['relieves bloating, pressure, and discomfort of gas which can be caused by certain foods (such as beans, bran, and broccoli) or air swallowing']",
Zegerid OTC,Proton Pump Inhibitors,24304.06,"In each capsule
Omeprazole 20 mg; Acid reducer
Sodium Bicarbonate 1100 mg; Allows absorption of this omeprazole product

	 ","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn, this drug may take 1 to 4 days for full effect.']",
Nexium 24HR,Proton Pump Inhibitors,340256.84,"In each capsule:
Esomeprazole 20 mg (Each delayed-release capsule corresponds to 22.3 mg esomeprazole magnesium trihydrate); Acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Prevacid 24HR,Proton Pump Inhibitors,72912.18,"In each capsule:
Lansoprazole 15mg; Acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Prilosec OTC,Proton Pump Inhibitors,777729.92,"Active ingredient (in each tablet)
Omeprazole magnesium delayed-release tablet 20.6 mg (equivalent to 20 mg omeprazole); acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
DulcoEase,Stool Softeners,14448.45,"In each softgel
Docusate sodium 100mg; stool softener/laxative","['for temporary relief of occasional constipation and irregularity', 'this product generally produces bowel movement in 12 to 72 hours']",
Phillips' Stool Softener,Stool Softeners,202278.3,"In each softgel
Docusate sodium 100 mg; stool softener","['for relief of occasional constipation (irregularity)', 'this product generally produces a bowel movement in 12 to 72 hours']",
Zegerid OTC,Acid Reducers,13541.1,"In each capsule
Omeprazole 20 mg; Acid reducer
Sodium Bicarbonate 1100 mg; Allows absorption of this omeprazole product

	 ","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn, this drug may take 1 to 4 days for full effect.']",
Zantac,Acid Reducers,352068.6,"In each tablet:
Ranitidine 150 mg (as ranitidine hydrochloride 168 mg); acid reducer","['relieves heartburn associated with acid indigestion and sour stomach', 'prevents heartburn associated with acid indigestion and sour stomach brought on by certain foods and beverages']",
Nexium 24HR,Acid Reducers,189575.4,"In each capsule:
Esomeprazole 20 mg (Each delayed-release capsule corresponds to 22.3 mg esomeprazole magnesium trihydrate); Acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Prevacid 24HR,Acid Reducers,13541.1,"In each capsule:
Lansoprazole 15mg; Acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Prilosec OTC,Acid Reducers,541644,"Active ingredient (in each tablet)
Omeprazole magnesium delayed-release tablet 20.6 mg (equivalent to 20 mg omeprazole); acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Emetrol,Upset Stomach Remedies,172546.29,"Each 5 mL contains*:
1.87 g Dextrose (glucose); Upset stomach reliever
1.87 g Levulose (fructose); Upset stomach reliever
21.5 mg Phosphoric acid; Upset stomach reliever

Phosphorated carbohydrate solution*",,
