Name,Condition,RecP,Total Count,Recommendations,Acrive Ingredients,Uses,
Children's Sudafed PE,Children's Cough/Cold Combinations,1 %,1067288,10672.88,"In each 5ml
Pseudoephedrine HCl 15 mg; nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves sinus congestion and pressure', 'promotes nasal and/or sinus drainage']",
Children's Sudafed PE,Children's Cough/Cold Combinations,1 %,1067288,10672.88,"In each 5ml
Pseudoephedrine HCl 15 mg; nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'temporarily relieves sinus congestion and pressure', 'promotes nasal and/or sinus drainage']",
Hyland's 4 Kids Cough Syrup,Children's Homeopathic Cough Products,63%,474227,298763.01,"Aconitum Napellus 6X HPUS: hoarse, dry, croupy cough, chest congestion         
Antimonium Tartaricum 6X HPUS: moist cough                          
Ipecacuanha 6X HPUS: moist, gagging cough
Spongia Tosta 6X HPUS: dry, barking cough",,
Orajel,Children's Toothpastes,6 %,404124,24247.44,Sodium fluoride (0.24%), Anticavity toothpaste,
Anbesol Baby,Teething Products,30%,438345,131503.5,Benzocaine 7.5%,,
Hyland's Cough Syrup 4 Kids,Children's Cough,1 %,986949,9869.49,"Aconitum Napellus 6X HPUS: hoarse, dry, croupy cough, chest congestion         
Antimonium Tartaricum 6X HPUS: moist cough                          
Ipecacuanha 6X HPUS: moist, gagging cough
Spongia Tosta 6X HPUS: dry, barking cough",,
Chloraseptic Kids Sore Throat Spray,Children's Sore Throat Products,66%,549664,362778.24,Phenol 0.5%, Oral Anesthetic/Analgesic,
PediaCare Children's Allergy,Children's Allergy,1 %,1229795,12297.95,"In each 5 mL (1 teaspoonful):
Diphenhydramine HCI 12.5 mg: Antihistamine/cough suppressant","['temporarily relieves these symptoms due to hay fever or\xc2\xa0other upper respiratory allergies:', 'runny nose\xc2\xa0', 'sneezing\xc2\xa0', 'itchy, watery eyes', 'temporarily relieves cough due to inhaled irritants']",
Hyland's Motion Sickness,Children's Motion Sickness Products,9 %,548116,49330.44,"Nux Vomica 6X HPUS: sore stomach, nausea
	Tabacum 6X HPUS: sick headache with nausea, vomiting
	Petroleum 12X HPUS: nausea, dizziness
	Cocculus Indicus 30X HPUS: nausea, dizziness, vomiting
	“HPUS” indicates the active ingredients are in the official Homeopathic Pharmacopoeia of the United States",,
Dramamine for Kids,Children's Motion Sickness Products,65%,548116,356275.4,"In each tablet
Dimenhydrinate 25 mg; Antiemetic","['nausea', 'vomiting', 'dizziness']",
